"Player","Season","GP","Team","Strength","TOI","GA","SA","FA","xGA","CA","GA60","SA60","FA60","xGA60","CA60","Sv%","xFSv%","FSv%","Adj Sv%","Miss%"
"CAM TALBOT","2016","73","EDM","All Situations","4289.00","171","2118","2904","195.33","4027","2.39","29.63","40.62","2.73","56.33","91.93","93.27","94.11","0.84","27.07"
"FREDERIK ANDERSEN","2016","66","TOR","All Situations","3799.33","169","2052","2922","199.61","3841","2.67","32.41","46.14","3.15","60.66","91.76","93.17","94.22","1.05","29.77"
"ROBIN LEHNER","2016","59","BUF","All Situations","3405.47","152","1912","2566","157.97","3321","2.68","33.69","45.21","2.78","58.51","92.05","93.84","94.08","0.24","25.49"
"SERGEI BOBROVSKY","2016","63","CBJ","All Situations","3707.07","127","1853","2560","167.82","3451","2.06","29.99","41.43","2.72","55.86","93.15","93.44","95.04","1.60","27.62"
"DEVAN DUBNYK","2016","65","MIN","All Situations","3753.00","141","1842","2567","143.41","3445","2.25","29.45","41.04","2.29","55.08","92.35","94.41","94.51","0.10","28.24"
"MIKE SMITH","2016","55","ARI","All Situations","3202.13","156","1819","2657","176.16","3430","2.92","34.08","49.79","3.30","64.27","91.42","93.37","94.13","0.76","31.54"
"CAREY PRICE","2016","62","MTL","All Situations","3708.13","138","1794","2408","155.18","3378","2.23","29.03","38.96","2.51","54.66","92.31","93.56","94.27","0.71","25.50"
"CORY SCHNEIDER","2016","60","N.J","All Situations","3467.83","163","1781","2447","165.46","3129","2.82","30.81","42.34","2.86","54.14","90.85","93.24","93.34","0.10","27.22"
"PEKKA RINNE","2016","61","NSH","All Situations","3567.78","144","1757","2431","144.04","3233","2.42","29.55","40.88","2.42","54.37","91.80","94.07","94.08","0.01","27.73"
"RYAN MILLER","2016","54","VAN","All Situations","3211.85","150","1737","2315","152.06","2998","2.80","32.45","43.25","2.84","56.01","91.36","93.43","93.52","0.09","24.97"
"MARTIN JONES","2016","65","S.J","All Situations","3800.35","152","1725","2489","161.26","3519","2.40","27.23","39.30","2.55","55.56","91.19","93.52","93.89","0.37","30.70"
"CAM WARD","2016","61","CAR","All Situations","3617.92","162","1711","2388","153.23","3146","2.69","28.38","39.60","2.54","52.17","90.53","93.58","93.22","-0.36","28.35"
"BRADEN HOLTBY","2016","63","WSH","All Situations","3680.17","127","1690","2428","157.04","3249","2.07","27.55","39.59","2.56","52.97","92.49","93.53","94.77","1.24","30.40"
"COREY CRAWFORD","2016","55","CHI","All Situations","3246.87","138","1690","2269","148.96","3059","2.55","31.23","41.93","2.75","56.53","91.83","93.44","93.92","0.48","25.52"
"HENRIK LUNDQVIST","2016","57","NYR","All Situations","3240.43","148","1650","2306","148.52","3140","2.74","30.55","42.70","2.75","58.14","91.03","93.56","93.58","0.02","28.45"
"JAKE ALLEN","2016","61","STL","All Situations","3418.32","138","1620","2241","136.87","3022","2.42","28.44","39.34","2.40","53.04","91.48","93.89","93.84","-0.05","27.71"
"TUUKKA RASK","2016","65","BOS","All Situations","3679.58","137","1612","2295","143.79","3125","2.23","26.29","37.42","2.34","50.96","91.50","93.73","94.03","0.30","29.76"
"CONNOR HELLEBUYCK","2016","56","WPG","All Situations","3033.50","146","1573","2144","132.81","2865","2.89","31.11","42.41","2.63","56.67","90.72","93.81","93.19","-0.62","26.63"
"STEVE MASON","2016","58","PHI","All Situations","3224.62","143","1556","2165","146.82","3021","2.66","28.95","40.28","2.73","56.21","90.81","93.22","93.39","0.17","28.13"
"KARI LEHTONEN","2016","59","DAL","All Situations","3177.15","151","1547","2214","152.69","3061","2.85","29.21","41.81","2.88","57.81","90.24","93.10","93.18","0.08","30.13"
"ANDREI VASILEVSKIY","2016","50","T.B","All Situations","2831.27","123","1480","1979","121.18","2550","2.61","31.36","41.94","2.57","54.04","91.69","93.88","93.78","-0.10","25.21"
"PETR MRAZEK","2016","50","DET","All Situations","2857.52","145","1462","1991","130.51","2583","3.04","30.70","41.81","2.74","54.24","90.08","93.44","92.72","-0.72","26.57"
"CALVIN PICKARD","2016","50","COL","All Situations","2820.27","140","1461","1997","128","2585","2.98","31.08","42.49","2.72","54.99","90.42","93.59","92.99","-0.60","26.84"
"THOMAS GREISS","2016","51","NYI","All Situations","2813.28","126","1453","2086","136.41","2861","2.69","30.99","44.49","2.91","61.02","91.33","93.46","93.96","0.50","30.35"
"MATT MURRAY","2016","49","PIT","All Situations","2765.80","111","1450","1946","128.55","2700","2.41","31.46","42.22","2.79","58.57","92.34","93.39","94.30","0.91","25.49"
"JOHN GIBSON","2016","52","ANA","All Situations","2950.35","109","1438","2009","127.15","2657","2.22","29.24","40.86","2.59","54.03","92.42","93.67","94.57","0.90","28.42"
"BRIAN ELLIOTT","2016","49","CGY","All Situations","2844.42","121","1340","1851","121.67","2482","2.55","28.27","39.04","2.57","52.36","90.97","93.43","93.46","0.03","27.61"
"PETER BUDAJ","2016","53","L.A","All Situations","3029.40","107","1286","1854","116.32","2527","2.12","25.47","36.72","2.30","50.05","91.68","93.73","94.23","0.50","30.64"
"CRAIG ANDERSON","2016","40","OTT","All Situations","2421.23","92","1247","1739","108.11","2435","2.28","30.90","43.09","2.68","60.34","92.62","93.78","94.71","0.93","28.29"
"JAMES REIMER","2016","43","FLA","All Situations","2324.58","98","1222","1634","108.67","2058","2.53","31.54","42.18","2.80","53.12","91.98","93.35","94.00","0.65","25.21"
"ROBERTO LUONGO","2016","40","FLA","All Situations","2327.17","104","1218","1582","114.53","2017","2.68","31.40","40.79","2.95","52.00","91.46","92.76","93.43","0.67","23.01"
"MARC-ANDRE FLEURY","2016","38","PIT","All Situations","2125.25","107","1181","1548","110.4","2084","3.02","33.34","43.70","3.12","58.84","90.94","92.87","93.09","0.22","23.71"
"MIKE CONDON","2016","40","OTT","All Situations","2304.00","96","1115","1621","105.18","2224","2.50","29.04","42.21","2.74","57.92","91.39","93.51","94.08","0.57","31.22"
"JONATHAN BERNIER","2016","39","ANA","All Situations","1993.18","83","982","1489","86.16","1985","2.50","29.56","44.82","2.59","59.75","91.55","94.21","94.43","0.22","34.05"
"CHAD JOHNSON","2016","36","CGY","All Situations","2013.20","87","969","1392","90.5","1850","2.59","28.88","41.49","2.70","55.14","91.02","93.50","93.75","0.25","30.39"
"LOUIS DOMINGUE","2016","31","ARI","All Situations","1598.68","82","888","1262","81.03","1668","3.08","33.33","47.36","3.04","62.60","90.77","93.58","93.50","-0.08","29.64"
"JAROSLAV HALAK","2016","28","NYI","All Situations","1605.48","75","885","1228","82.65","1715","2.80","33.07","45.89","3.09","64.09","91.53","93.27","93.89","0.62","27.93"
"ANTTI NIEMI","2016","37","DAL","All Situations","1728.50","95","881","1257","85.3","1732","3.30","30.58","43.63","2.96","60.12","89.22","93.21","92.44","-0.77","29.91"
"SCOTT DARLING","2016","32","CHI","All Situations","1688.58","67","877","1145","77.42","1574","2.38","31.16","40.69","2.75","55.93","92.36","93.24","94.15","0.91","23.41"
"BEN BISHOP","2016","32","T.B","All Situations","1812.60","77","870","1221","80.29","1595","2.55","28.80","40.42","2.66","52.80","91.15","93.42","93.69","0.27","28.75"
"ANDERS NILSSON","2016","26","BUF","All Situations","1484.25","66","858","1196","80.39","1545","2.67","34.68","48.35","3.25","62.46","92.31","93.28","94.48","1.20","28.26"
"ANTTI RAANTA","2016","30","NYR","All Situations","1617.33","61","782","1083","65.68","1464","2.26","29.01","40.18","2.44","54.31","92.20","93.94","94.37","0.43","27.79"
"KEITH KINKAID","2016","26","N.J","All Situations","1476.08","65","779","1052","70.79","1395","2.64","31.66","42.76","2.88","56.70","91.66","93.27","93.82","0.55","25.95"
"SEMYON VARLAMOV","2016","24","COL","All Situations","1347.78","76","745","981","69.08","1314","3.38","33.17","43.67","3.08","58.50","89.80","92.96","92.25","-0.71","24.06"
"JACOB MARKSTROM","2016","26","VAN","All Situations","1416.68","62","693","949","64.44","1226","2.63","29.35","40.19","2.73","51.92","91.05","93.21","93.47","0.26","26.98"
"MICHAEL HUTCHINSON","2016","28","WPG","All Situations","1378.33","67","691","931","57.1","1253","2.92","30.08","40.53","2.49","54.54","90.30","93.87","92.80","-1.07","25.78"
"JIMMY HOWARD","2016","26","DET","All Situations","1396.72","49","675","957","58.29","1271","2.10","29.00","41.11","2.50","54.60","92.74","93.91","94.88","0.97","29.47"
"CARTER HUTTON","2016","30","STL","All Situations","1459.05","58","663","930","57.22","1264","2.39","27.26","38.24","2.35","51.98","91.25","93.85","93.76","-0.09","28.71"
"JUUSE SAROS","2016","21","NSH","All Situations","1199.92","47","614","886","50.74","1159","2.35","30.70","44.30","2.54","57.95","92.35","94.27","94.70","0.43","30.70"
"MICHAL NEUVIRTH","2016","28","PHI","All Situations","1363.63","64","586","818","52.86","1189","2.82","25.78","35.99","2.33","52.32","89.08","93.54","92.18","-1.36","28.36"
"PHILIPP GRUBAUER","2016","24","WSH","All Situations","1264.57","43","585","829","55.96","1108","2.04","27.76","39.33","2.65","52.57","92.65","93.25","94.81","1.56","29.43"
"AL MONTOYA","2016","19","MTL","All Situations","1124.88","50","569","770","50.55","998","2.67","30.35","41.07","2.70","53.23","91.21","93.43","93.51","0.08","26.10"
"DARCY KUEMPER","2016","18","MIN","All Situations","1053.03","55","562","791","45.88","1046","3.13","32.02","45.07","2.61","59.60","90.21","94.20","93.05","-1.15","28.95"
"AARON DELL","2016","20","S.J","All Situations","1110.55","37","532","758","46.81","1076","2.00","28.74","40.95","2.53","58.13","93.05","93.83","95.12","1.29","29.82"
"EDDIE LACK","2016","20","CAR","All Situations","1089.85","48","492","738","48.06","976","2.64","27.09","40.63","2.65","53.73","90.24","93.49","93.50","0.01","33.33"
"JONATHAN QUICK","2016","17","L.A","All Situations","930.95","35","421","633","45.38","833","2.26","27.13","40.80","2.92","53.69","91.69","92.83","94.47","1.64","33.49"
"CURTIS MCELHINNEY","2016","14","TOR","All Situations","758.73","36","418","596","40.7","761","2.85","33.06","47.13","3.22","60.18","91.39","93.17","93.96","0.79","29.87"
"ANTON KHUDOBIN","2016","16","BOS","All Situations","884.78","39","406","562","39.67","737","2.64","27.53","38.11","2.69","49.98","90.39","92.94","93.06","0.12","27.76"
"JOONAS KORPISALO","2016","14","CBJ","All Situations","790.52","38","401","590","38.6","776","2.88","30.44","44.78","2.93","58.90","90.52","93.46","93.56","0.10","32.03"
"JARED COREAU","2016","14","DET","All Situations","707.27","41","363","513","37.16","669","3.48","30.79","43.52","3.15","56.75","88.71","92.76","92.01","-0.75","29.24"
"JEREMY SMITH","2016","10","COL","All Situations","542.72","32","286","377","26.98","487","3.54","31.62","41.68","2.98","53.84","88.81","92.84","91.51","-1.33","24.14"
"JEAN-FRANCOIS BERUBE","2016","14","NYI","All Situations","526.82","30","271","365","21.5","465","3.42","30.86","41.57","2.45","52.96","88.93","94.11","91.78","-2.33","25.75"
"ONDREJ PAVELEC","2016","8","WPG","All Situations","439.50","26","233","295","19.95","401","3.55","31.81","40.27","2.72","54.74","88.84","93.24","91.19","-2.05","21.02"
"JEFF ZATKOFF","2016","13","L.A","All Situations","550.40","27","223","301","18.29","413","2.94","24.31","32.81","1.99","45.02","87.89","93.92","91.03","-2.89","25.91"
"CURTIS MCELHINNEY","2016","7","CBJ","All Situations","375.92","15","198","260","16.34","345","2.39","31.60","41.50","2.61","55.06","92.42","93.72","94.23","0.51","23.85"
"ANTHONY STOLARZ","2016","7","PHI","All Situations","376.08","13","181","244","15.96","319","2.07","28.88","38.93","2.55","50.89","92.82","93.46","94.67","1.21","25.82"
"BEN BISHOP","2016","7","L.A","All Situations","410.02","17","170","242","17.23","328","2.49","24.88","35.41","2.52","48.00","90.00","92.88","92.98","0.10","29.75"
"RICHARD BACHMAN","2016","5","VAN","All Situations","295.18","13","162","236","15.09","305","2.64","32.93","47.97","3.07","62.00","91.98","93.61","94.49","0.88","31.36"
"ZANE MCINTYRE","2016","8","BOS","All Situations","332.62","22","155","206","15.04","290","3.97","27.96","37.16","2.71","52.31","85.81","92.70","89.32","-3.38","24.76"
"LAURENT BROSSOIT","2016","8","EDM","All Situations","332.45","11","153","213","13.79","305","1.99","27.61","38.44","2.49","55.05","92.81","93.53","94.84","1.31","28.17"
"RETO BERRA","2016","7","FLA","All Situations","313.12","18","145","211","17.5","263","3.45","27.78","40.43","3.35","50.40","87.59","91.70","91.47","-0.23","31.28"
"JHONAS ENROTH","2016","6","TOR","All Situations","274.43","18","141","190","14.61","242","3.94","30.83","41.54","3.19","52.91","87.23","92.31","90.53","-1.78","25.79"
"JONAS GUSTAVSSON","2016","7","EDM","All Situations","328.97","17","139","196","11.68","272","3.10","25.35","35.75","2.13","49.61","87.77","94.04","91.33","-2.71","29.08"
"PETER BUDAJ","2016","7","T.B","All Situations","278.87","13","128","175","10.97","236","2.80","27.54","37.65","2.36","50.78","89.84","93.73","92.57","-1.16","26.86"
"SPENCER MARTIN","2016","3","COL","All Situations","179.43","13","96","130","9.32","169","4.35","32.10","43.47","3.12","56.51","86.46","92.83","90.00","-2.83","26.15"
"MICHAEL LEIGHTON","2016","4","CAR","All Situations","210.28","12","92","131","8.63","188","3.42","26.25","37.38","2.46","53.64","86.96","93.41","90.84","-2.57","29.77"
"MAREK MAZANEC","2016","4","NSH","All Situations","177.58","14","87","127","8.25","158","4.73","29.40","42.91","2.79","53.38","83.91","93.51","88.98","-4.53","31.50"
"ANDREW HAMMOND","2016","6","OTT","All Situations","190.08","14","86","123","9.82","161","4.42","27.15","38.83","3.10","50.82","83.72","92.02","88.62","-3.40","30.08"
"JUSTIN PETERS","2016","3","ARI","All Situations","132.92","7","70","92","6.16","116","3.16","31.60","41.53","2.78","52.36","90.00","93.30","92.39","-0.91","23.91"
"CHARLIE LINDGREN","2016","2","MTL","All Situations","121.70","3","59","80","4.73","93","1.48","29.09","39.44","2.33","45.85","94.92","94.09","96.25","2.16","26.25"
"ANTOINE BIBEAU","2016","2","TOR","All Situations","120.65","4","55","87","5.07","114","1.99","27.35","43.27","2.52","56.69","92.73","94.17","95.40","1.23","36.78"
"ALEX STALOCK","2016","2","MIN","All Situations","118.92","3","54","76","4.45","99","1.51","27.25","38.35","2.25","49.95","94.44","94.14","96.05","1.91","28.95"
"ERIC COMRIE","2016","1","WPG","All Situations","59.30","4","39","50","3.79","71","4.05","39.46","50.59","3.84","71.84","89.74","92.41","92.00","-0.41","22.00"
"LINUS ULLMARK","2016","1","BUF","All Situations","58.73","3","36","43","3.67","55","3.06","36.78","43.93","3.75","56.19","91.67","91.47","93.02","1.55","16.28"
"PHEONIX COPLEY","2016","1","STL","All Situations","58.93","5","29","37","3.12","48","5.09","29.53","37.67","3.18","48.87","82.76","91.57","86.49","-5.08","21.62"
"JON GILLIES","2016","1","CGY","All Situations","60.00","1","28","46","3.08","57","1.00","28.00","46.00","3.08","57.00","96.43","93.31","97.83","4.52","39.13"
"MAGNUS HELLBERG","2016","2","NYR","All Situations","78.52","2","28","42","2.72","66","1.53","21.40","32.09","2.08","50.43","92.86","93.52","95.24","1.72","33.33"
"ANTON FORSBERG","2016","1","CBJ","All Situations","58.58","4","27","39","2.02","50","4.10","27.65","39.95","2.07","51.21","85.19","94.82","89.74","-5.08","30.77"
"TRISTAN JARRY","2016","1","PIT","All Situations","58.75","3","25","38","2.23","50","3.06","25.53","38.81","2.27","51.06","88.00","94.14","92.11","-2.03","34.21"
"ALEX NEDELJKOVIC","2016","1","CAR","All Situations","29.95","0","17","23","1.28","27","0.00","34.06","46.08","2.56","54.09","100.00","94.45","100.00","5.55","26.09"
"MALCOLM SUBBAN","2016","1","BOS","All Situations","30.60","3","16","23","1.57","25","5.88","31.37","45.10","3.09","49.02","81.25","93.15","86.96","-6.19","30.43"
"CHRIS DRIEDGER","2016","1","OTT","All Situations","40.00","4","15","26","1.65","39","6.00","22.50","39.00","2.48","58.50","73.33","93.64","84.62","-9.02","42.31"
"DAVID RITTICH","2016","1","CGY","All Situations","20.00","1","10","13","0.68","21","3.00","30.00","39.00","2.03","63.00","90.00","94.80","92.31","-2.49","23.08"
"MAREK LANGHAMER","2016","1","ARI","All Situations","15.52","1","8","11","0.92","18","3.87","30.93","42.53","3.58","69.59","87.50","91.59","90.91","-0.68","27.27"
"MIKE CONDON","2016","1","PIT","All Situations","20.00","0","7","7","0.7","10","0.00","21.00","21.00","2.09","30.00","100.00","90.06","100.00","9.94","0.00"
"DUSTIN TOKARSKI","2016","1","ANA","All Situations","9.78","0","5","7","0.53","8","0.00","30.67","42.94","3.28","49.08","100.00","92.36","100.00","7.64","28.57"
"JACK CAMPBELL","2016","1","L.A","All Situations","20.00","0","5","10","0.33","10","0.00","15.00","30.00","0.98","30.00","100.00","96.75","100.00","3.25","50.00"
"KRISTERS GUDLEVSKIS","2016","1","T.B","All Situations","11.45","0","3","6","0.23","7","0.00","15.72","31.44","1.18","36.68","100.00","96.24","100.00","3.76","50.00"
"JORGE ALVES","2016","1","CAR","All Situations","0.13","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","","","","",""